COMPONENTS,10,2,84.46134419441223,95.38655805587769
NUMBER_SYSTEMS,5,7,23.579528999328613,54.20471000671387
SOFTWARE,10,2,86.73511753082275,72.64882469177246
COMPONENTS,11,1,101.03037424087525,59.69625759124756
NUMBER_SYSTEMS,5,7,21.33712582588196,76.62874174118042
SOFTWARE,11,1,99.37166359424592,76.2833640575409
COMPONENTS,12,0,115.2291936635971,47.70806336402893
NUMBER_SYSTEMS,3,9,-7.001490211486816,100.01490211486816
COMPONENTS,7,5,46.41392879486084,85.8607120513916
NUMBER_SYSTEMS,5,7,22.687982940673827,63.12017059326172
SOFTWARE,10,2,88.66478729248047,53.35212707519531
SOFTWARE,8,4,62.182183504104614,58.17816495895386
