components,1. What computer part keeps the computer from overheating?,D,d,1.6837098598480225
components,2. Principal input device used to type instructions into the computer.,D,c,6.427416563034058
components,3. What is hardware?,C,c,1.9845941066741943
components,1. What computer part keeps the computer from overheating?,D,d,1.7816033363342285
components,2. Principal input device used to type instructions into the computer.,D,d,5.298387765884399
components,3. What is hardware?,C,c,1.9374802112579346
components,4. Where the operating system - programs and data are permanently stored is called what?,B,b,8.03530216217041
components,A pointing device used to make on-screen selections.,A,a,7.518921375274658
components,6. What is the speed of the processor measured in?,A,a,3.4093315601348877
components,7. This component only executes instructions from the main (primary) memory which are to be displayed on the screen.,A,d,4.09745717048645
components,8. Which software is an example of System Software ?,C,c,2.0004067420959473
components,9. Where is ROM usually found inside a computer?,C,c,31.716174125671387
components,10. What does the motherboard do?,D,d,2.127713680267334
components,11. Which type of Computer will be used for storing huge database ?,C,a,14.334886312484741
components,12. Is an internal expansion card that provides input and output of audio signals to and from a computer under control of computer programs.,B,b,13.128893613815308
number_systems,1. Which of the following is NOT a positional number system?,A,a,1.799253225326538
number_systems,2. What are the only two numbers you can use in binary?,A,c,4.098340749740601
number_systems,3. Which of the following is the best definition of a bit?,D,d,16.38723611831665
number_systems,4. How many bits make a byte?,C,c,4.006180047988892
number_systems,5. The binary equivalent of the decimal number 10 is ____,C,b,2.7385497093200684
number_systems,6. Which of the following is NOT a binary number?,C,d,2.375669479370117
number_systems,7. 'C' stands for ____ in Hexadecimal number system.,D,a,3.044699192047119
number_systems,8. How many different values can be represented using 8 bits?,C,c,2.590787887573242
number_systems,9. The binary number 10011101 is equivalent to ____,C,b,8.129093885421753
number_systems,10. Convert the Hex number B9 to binary.,A,a,1.9221892356872559
number_systems,11. A ____ Internet connection can transmit more than a billion ones and zeroes every second.,C,a,5.391931772232056
number_systems,12. Smallest to largest which of the below answers is correct?,D,a,1.7207787036895752
software,1. Which type of business software can be used to create a presentation using text - graphics - animation - audio and video?,D,d,5.234720706939697
software,2. Which of the following is the correct flow of data in computer operation?,A,a,4.57912802696228
software,3. Mac OS is an example of ______________ software.,C,c,5.68887996673584
